                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.6351,                 1.4454,                  1.964,                0.80304,                0.46341,                0.61544,                 0.3011,                 1.8258,                 1.9513,                 2.5165,               0.000416,               0.000416,               0.000416
                     82,                  1.644,                 1.4174,                 1.9787,                0.62334,                0.58537,                 0.6391,                0.31117,                 1.7757,                 1.8894,                 2.4841,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5978,                 1.3788,                 1.8819,                0.55998,                0.60976,                0.61223,                0.32962,                 1.7852,                 1.9016,                 2.4831,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5528,                 1.3831,                 1.9325,                0.77891,                 0.4299,                0.61037,                0.31692,                 1.8129,                 1.9209,                 2.4869,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5674,                 1.3527,                  1.937,                0.74075,                 0.4878,                0.58626,                0.30197,                  1.818,                 1.9933,                 2.5115,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5798,                 1.3656,                  1.894,                0.66917,                 0.5122,                0.59341,                0.30061,                 1.7864,                 2.0221,                 2.4912,               0.000317,               0.000317,               0.000317
                     87,                   1.55,                 1.3595,                 1.9302,                 0.6432,                0.56098,                0.62007,                0.31662,                 1.7775,                 1.9125,                 2.4655,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5491,                 1.2996,                 1.8173,                0.72529,                0.51524,                 0.6538,                0.32309,                  1.829,                 1.7721,                 2.4562,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5345,                 1.3113,                 1.8588,                0.72455,                0.53659,                0.66544,                 0.3242,                 1.8197,                  1.768,                 2.4235,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5721,                 1.2909,                 1.8476,                0.74106,                0.56098,                0.67771,                 0.3327,                 1.7727,                 1.7677,                 2.3881,              0.0002378,              0.0002378,              0.0002378
